word,mean_attr,std_attr,count,pct_positive
faith,-0.0065564946,0.055627685,5,80.0
question,-0.006622164,0.049327098,8,25.0
now,-0.0067315996,0.043214306,8,37.5
make,-0.0070448737,0.03149941,11,54.54545454545454
always,-0.007105367,0.0331344,6,33.33333333333333
shall,-0.0071286275,0.020898959,6,16.666666666666664
live,-0.007514395,0.02171315,10,40.0
through,-0.00776732,0.05004612,22,45.45454545454545
also,-0.007962342,0.05552401,8,62.5
questions,-0.007990236,0.05073002,5,60.0
indeed,-0.008301232,0.03594775,12,41.66666666666667
things,-0.008317353,0.02436542,15,46.666666666666664
own,-0.0083864955,0.033674773,49,36.734693877551024
ancient,-0.008473105,0.056912724,5,40.0
provides,-0.00866519,0.03318441,5,60.0
are,-0.00886082,0.04816372,100,46.0
problems,-0.009219249,0.02144788,6,50.0
utility,-0.009243887,0.015344368,6,50.0
being,-0.0092909625,0.032625474,33,36.36363636363637
conduct,-0.009610584,0.043050367,19,42.10526315789473
limits,-0.00992209,0.032028604,5,60.0
action,-0.010052827,0.065784305,12,58.333333333333336
upon,-0.010362025,0.03845726,30,36.666666666666664
peculiar,-0.010425354,0.056767948,6,50.0
these,-0.010532555,0.068418525,37,48.64864864864865
universe,-0.010602728,0.040531583,11,36.36363636363637
unyielding,-0.010623059,0.025197007,5,40.0
works,-0.010674632,0.04669397,8,50.0
where,-0.010689296,0.039514776,16,43.75
sensations,-0.010862811,0.04124246,5,60.0
truths,-0.010968084,0.03658491,13,38.46153846153847
;,-0.010991793,0.051120784,82,39.02439024390244
working,-0.011091419,0.0429626,6,66.66666666666666
between,-0.011114831,0.05921948,20,40.0
offers,-0.011380789,0.06065816,11,45.45454545454545
at,-0.011405764,0.045155182,20,35.0
great,-0.01166157,0.05852514,9,33.33333333333333
world,-0.011777525,0.048800986,59,35.59322033898305
nature,-0.011990174,0.042530067,44,36.36363636363637
colour,-0.012008809,0.030022983,7,42.857142857142854
truth,-0.012094049,0.04598742,43,37.2093023255814
physical,-0.012664662,0.034521032,13,46.15384615384615
mental,-0.012664802,0.032971535,19,36.84210526315789
certain,-0.013543514,0.06133028,22,40.909090909090914
instance,-0.013694844,0.043645047,6,33.33333333333333
relation,-0.013734861,0.033193745,18,27.77777777777778
becomes,-0.013790604,0.05094063,11,45.45454545454545
sort,-0.013954364,0.011316632,5,0.0
test,-0.014123237,0.026605653,5,40.0
logic,-0.0144231785,0.036788225,7,28.57142857142857
makes,-0.0144398445,0.065464795,9,66.66666666666666
into,-0.0145184,0.041719683,33,45.45454545454545
particular,-0.015015394,0.034640968,14,35.714285714285715
shadow,-0.015639404,0.041080344,7,28.57142857142857
silent,-0.015649006,0.062061466,6,50.0
breast,-0.016001707,0.034273013,5,20.0
within,-0.016077204,0.03369783,26,38.46153846153847
pragmatism,-0.016077368,0.020708984,7,42.857142857142854
efficacy,-0.016095102,0.041112404,8,37.5
subject,-0.016334949,0.034049723,20,45.0
am,-0.016423507,0.056827024,6,50.0
those,-0.016866866,0.050731365,14,28.57142857142857
spirit,-0.017239733,0.052400574,26,38.46153846153847
particulars,-0.017309088,0.039940134,5,40.0
inner,-0.017556075,0.049089197,15,33.33333333333333
understanding,-0.01797371,0.030495316,18,27.77777777777778
laws,-0.01800035,0.029211631,5,20.0
living,-0.018124327,0.07026874,14,50.0
form,-0.01812458,0.044707187,7,42.857142857142854
how,-0.018327633,0.03498688,14,35.714285714285715
consider,-0.01835404,0.025178013,13,23.076923076923077
objects,-0.0184545,0.032899864,18,27.77777777777778
act,-0.01904539,0.047034085,19,36.84210526315789
acquaintance,-0.019162146,0.04692563,19,36.84210526315789
his,-0.019314185,0.055924393,70,40.0
another,-0.019674163,0.042368777,5,40.0
let,-0.019940626,0.07309474,31,48.38709677419355
voice,-0.02040923,0.037081737,5,40.0
data,-0.021006333,0.047990557,21,38.095238095238095
fixed,-0.021056492,0.032190897,5,40.0
itself,-0.021061119,0.044047926,28,35.714285714285715
would,-0.021087408,0.06660191,8,37.5
our,-0.021181546,0.053030998,180,28.888888888888886
then,-0.02134159,0.036127787,33,27.27272727272727
known,-0.021447008,0.042192448,10,30.0
an,-0.021562075,0.052421737,72,34.72222222222222
against,-0.021772837,0.014966883,6,0.0
inherent,-0.021880683,0.05437559,8,37.5
hypothesis,-0.022538597,0.062038932,5,40.0
problem,-0.02382266,0.016122403,5,20.0
one,-0.023829177,0.045015886,40,25.0
